CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;01/03/2023;1;0,055;;;R
ES0031102460685007HA0F;01/03/2023;2;0,023;;;R
ES0031102460685007HA0F;01/03/2023;3;0,024;;;R
ES0031102460685007HA0F;01/03/2023;4;0,028;;;R
ES0031102460685007HA0F;01/03/2023;5;0,03;;;R
ES0031102460685007HA0F;01/03/2023;6;0,026;;;R
ES0031102460685007HA0F;01/03/2023;7;0,023;;;R
ES0031102460685007HA0F;01/03/2023;8;0,222;;;R
ES0031102460685007HA0F;01/03/2023;9;0,681;;;R
ES0031102460685007HA0F;01/03/2023;10;0,697;;;R
ES0031102460685007HA0F;01/03/2023;11;0,754;;;R
ES0031102460685007HA0F;01/03/2023;12;0,469;;;R
ES0031102460685007HA0F;01/03/2023;13;0,954;;;R
ES0031102460685007HA0F;01/03/2023;14;0,72;;;R
ES0031102460685007HA0F;01/03/2023;15;1,181;;;R
ES0031102460685007HA0F;01/03/2023;16;0,383;;;R
ES0031102460685007HA0F;01/03/2023;17;0,211;;;R
ES0031102460685007HA0F;01/03/2023;18;0,219;;;R
ES0031102460685007HA0F;01/03/2023;19;0,146;;;R
ES0031102460685007HA0F;01/03/2023;20;0,752;;;R
ES0031102460685007HA0F;01/03/2023;21;0,669;;;R
ES0031102460685007HA0F;01/03/2023;22;0,701;;;R
ES0031102460685007HA0F;01/03/2023;23;0,557;;;R
ES0031102460685007HA0F;01/03/2023;24;0,372;;;R
ES0031102460685007HA0F;02/03/2023;1;0,085;;;R
ES0031102460685007HA0F;02/03/2023;2;0,032;;;R
ES0031102460685007HA0F;02/03/2023;3;0,029;;;R
ES0031102460685007HA0F;02/03/2023;4;0,028;;;R
ES0031102460685007HA0F;02/03/2023;5;0,027;;;R
ES0031102460685007HA0F;02/03/2023;6;0,027;;;R
ES0031102460685007HA0F;02/03/2023;7;0,023;;;R
ES0031102460685007HA0F;02/03/2023;8;0,188;;;R
ES0031102460685007HA0F;02/03/2023;9;0,068;;;R
ES0031102460685007HA0F;02/03/2023;10;0,028;;;R
ES0031102460685007HA0F;02/03/2023;11;0,557;;;R
ES0031102460685007HA0F;02/03/2023;12;0,137;;;R
ES0031102460685007HA0F;02/03/2023;13;0,025;;;R
ES0031102460685007HA0F;02/03/2023;14;0,241;;;R
ES0031102460685007HA0F;02/03/2023;15;0,456;;;R
ES0031102460685007HA0F;02/03/2023;16;0,227;;;R
ES0031102460685007HA0F;02/03/2023;17;0,085;;;R
ES0031102460685007HA0F;02/03/2023;18;0,531;;;R
ES0031102460685007HA0F;02/03/2023;19;0,256;;;R
ES0031102460685007HA0F;02/03/2023;20;0,24;;;R
ES0031102460685007HA0F;02/03/2023;21;0,654;;;R
ES0031102460685007HA0F;02/03/2023;22;0,56;;;R
ES0031102460685007HA0F;02/03/2023;23;0,669;;;R
ES0031102460685007HA0F;02/03/2023;24;0,398;;;R
ES0031102460685007HA0F;03/03/2023;1;0,053;;;R
ES0031102460685007HA0F;03/03/2023;2;0,028;;;R
ES0031102460685007HA0F;03/03/2023;3;0,028;;;R
ES0031102460685007HA0F;03/03/2023;4;0,029;;;R
ES0031102460685007HA0F;03/03/2023;5;0,026;;;R
ES0031102460685007HA0F;03/03/2023;6;0,026;;;R
ES0031102460685007HA0F;03/03/2023;7;0,025;;;R
ES0031102460685007HA0F;03/03/2023;8;0,226;;;R
ES0031102460685007HA0F;03/03/2023;9;0,026;;;R
ES0031102460685007HA0F;03/03/2023;10;0,262;;;R
ES0031102460685007HA0F;03/03/2023;11;0,087;;;R
ES0031102460685007HA0F;03/03/2023;12;0,032;;;R
ES0031102460685007HA0F;03/03/2023;13;0,235;;;R
ES0031102460685007HA0F;03/03/2023;14;0,619;;;R
ES0031102460685007HA0F;03/03/2023;15;0,136;;;R
ES0031102460685007HA0F;03/03/2023;16;0,446;;;R
ES0031102460685007HA0F;03/03/2023;17;0,601;;;R
ES0031102460685007HA0F;03/03/2023;18;0,607;;;R
ES0031102460685007HA0F;03/03/2023;19;0,346;;;R
ES0031102460685007HA0F;03/03/2023;20;0,196;;;R
ES0031102460685007HA0F;03/03/2023;21;0,702;;;R
ES0031102460685007HA0F;03/03/2023;22;0,957;;;R
ES0031102460685007HA0F;03/03/2023;23;1,104;;;R
ES0031102460685007HA0F;03/03/2023;24;1,335;;;R
ES0031102460685007HA0F;04/03/2023;1;1,068;;;R
ES0031102460685007HA0F;04/03/2023;2;0,404;;;R
ES0031102460685007HA0F;04/03/2023;3;0,176;;;R
ES0031102460685007HA0F;04/03/2023;4;0,174;;;R
ES0031102460685007HA0F;04/03/2023;5;0,175;;;R
ES0031102460685007HA0F;04/03/2023;6;0,161;;;R
ES0031102460685007HA0F;04/03/2023;7;0,157;;;R
ES0031102460685007HA0F;04/03/2023;8;0,156;;;R
ES0031102460685007HA0F;04/03/2023;9;0,117;;;R
ES0031102460685007HA0F;04/03/2023;10;0,594;;;R
ES0031102460685007HA0F;04/03/2023;11;0,525;;;R
ES0031102460685007HA0F;04/03/2023;12;0,388;;;R
ES0031102460685007HA0F;04/03/2023;13;0,146;;;R
ES0031102460685007HA0F;04/03/2023;14;0,413;;;R
ES0031102460685007HA0F;04/03/2023;15;1,471;;;R
ES0031102460685007HA0F;04/03/2023;16;0,107;;;R
ES0031102460685007HA0F;04/03/2023;17;0,094;;;R
ES0031102460685007HA0F;04/03/2023;18;0,256;;;R
ES0031102460685007HA0F;04/03/2023;19;0,209;;;R
ES0031102460685007HA0F;04/03/2023;20;0,381;;;R
ES0031102460685007HA0F;04/03/2023;21;0,773;;;R
ES0031102460685007HA0F;04/03/2023;22;0,68;;;R
ES0031102460685007HA0F;04/03/2023;23;0,835;;;R
ES0031102460685007HA0F;04/03/2023;24;0,744;;;R
ES0031102460685007HA0F;05/03/2023;1;0,178;;;R
ES0031102460685007HA0F;05/03/2023;2;0,372;;;R
ES0031102460685007HA0F;05/03/2023;3;0,283;;;R
ES0031102460685007HA0F;05/03/2023;4;0,281;;;R
ES0031102460685007HA0F;05/03/2023;5;0,279;;;R
ES0031102460685007HA0F;05/03/2023;6;0,278;;;R
ES0031102460685007HA0F;05/03/2023;7;0,328;;;R
ES0031102460685007HA0F;05/03/2023;8;0,297;;;R
ES0031102460685007HA0F;05/03/2023;9;0,113;;;R
ES0031102460685007HA0F;05/03/2023;10;0,029;;;R
ES0031102460685007HA0F;05/03/2023;11;0,032;;;R
ES0031102460685007HA0F;05/03/2023;12;0,411;;;R
ES0031102460685007HA0F;05/03/2023;13;1,56;;;R
ES0031102460685007HA0F;05/03/2023;14;1,555;;;R
ES0031102460685007HA0F;05/03/2023;15;0,618;;;R
ES0031102460685007HA0F;05/03/2023;16;0,443;;;R
ES0031102460685007HA0F;05/03/2023;17;0,479;;;R
ES0031102460685007HA0F;05/03/2023;18;0,382;;;R
ES0031102460685007HA0F;05/03/2023;19;0,223;;;R
ES0031102460685007HA0F;05/03/2023;20;0,305;;;R
ES0031102460685007HA0F;05/03/2023;21;0,161;;;R
ES0031102460685007HA0F;05/03/2023;22;0,259;;;R
ES0031102460685007HA0F;05/03/2023;23;0,503;;;R
ES0031102460685007HA0F;05/03/2023;24;0,476;;;R
ES0031102460685007HA0F;06/03/2023;1;0,051;;;R
ES0031102460685007HA0F;06/03/2023;2;0,025;;;R
ES0031102460685007HA0F;06/03/2023;3;0,027;;;R
ES0031102460685007HA0F;06/03/2023;4;0,031;;;R
ES0031102460685007HA0F;06/03/2023;5;0,029;;;R
ES0031102460685007HA0F;06/03/2023;6;0,027;;;R
ES0031102460685007HA0F;06/03/2023;7;0,026;;;R
ES0031102460685007HA0F;06/03/2023;8;0,123;;;R
ES0031102460685007HA0F;06/03/2023;9;0,027;;;R
