CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;01/01/2025;1;0,43;;;R
ES0031102460685007HA0F;01/01/2025;2;0,4;;;R
ES0031102460685007HA0F;01/01/2025;3;0,164;;;R
ES0031102460685007HA0F;01/01/2025;4;0,624;;;R
ES0031102460685007HA0F;01/01/2025;5;0,668;;;R
ES0031102460685007HA0F;01/01/2025;6;0,574;;;R
ES0031102460685007HA0F;01/01/2025;7;0,624;;;R
ES0031102460685007HA0F;01/01/2025;8;0,59;;;R
ES0031102460685007HA0F;01/01/2025;9;0,056;;;R
ES0031102460685007HA0F;01/01/2025;10;0,09;;;R
ES0031102460685007HA0F;01/01/2025;11;0,113;;;R
ES0031102460685007HA0F;01/01/2025;12;0,335;;;R
ES0031102460685007HA0F;01/01/2025;13;0,158;;;R
ES0031102460685007HA0F;01/01/2025;14;0,097;;;R
ES0031102460685007HA0F;01/01/2025;15;0,594;;;R
ES0031102460685007HA0F;01/01/2025;16;0,41;;;R
ES0031102460685007HA0F;01/01/2025;17;1,11;;;R
ES0031102460685007HA0F;01/01/2025;18;0,333;;;R
ES0031102460685007HA0F;01/01/2025;19;0,241;;;R
ES0031102460685007HA0F;01/01/2025;20;0,362;;;R
ES0031102460685007HA0F;01/01/2025;21;0,299;;;R
ES0031102460685007HA0F;01/01/2025;22;0,261;;;R
ES0031102460685007HA0F;01/01/2025;23;0,403;;;R
ES0031102460685007HA0F;01/01/2025;24;0,256;;;R
ES0031102460685007HA0F;02/01/2025;1;0,183;;;R
ES0031102460685007HA0F;02/01/2025;2;0,193;;;R
ES0031102460685007HA0F;02/01/2025;3;0,188;;;R
ES0031102460685007HA0F;02/01/2025;4;0,167;;;R
ES0031102460685007HA0F;02/01/2025;5;0,471;;;R
ES0031102460685007HA0F;02/01/2025;6;0,608;;;R
ES0031102460685007HA0F;02/01/2025;7;0,619;;;R
ES0031102460685007HA0F;02/01/2025;8;0,354;;;R
ES0031102460685007HA0F;02/01/2025;9;0,185;;;R
ES0031102460685007HA0F;02/01/2025;10;0,229;;;R
ES0031102460685007HA0F;02/01/2025;11;0,037;;;R
ES0031102460685007HA0F;02/01/2025;12;0,238;;;R
ES0031102460685007HA0F;02/01/2025;13;0,031;;;R
ES0031102460685007HA0F;02/01/2025;14;0,035;;;R
ES0031102460685007HA0F;02/01/2025;15;0,345;;;R
ES0031102460685007HA0F;02/01/2025;16;0,165;;;R
ES0031102460685007HA0F;02/01/2025;17;0,072;;;R
ES0031102460685007HA0F;02/01/2025;18;0,214;;;R
ES0031102460685007HA0F;02/01/2025;19;0,097;;;R
ES0031102460685007HA0F;02/01/2025;20;0,316;;;R
ES0031102460685007HA0F;02/01/2025;21;0,632;;;R
ES0031102460685007HA0F;02/01/2025;22;0,303;;;R
ES0031102460685007HA0F;02/01/2025;23;0,483;;;R
ES0031102460685007HA0F;02/01/2025;24;0,317;;;R
ES0031102460685007HA0F;03/01/2025;1;0,504;;;R
ES0031102460685007HA0F;03/01/2025;2;0,184;;;R
ES0031102460685007HA0F;03/01/2025;3;0,196;;;R
ES0031102460685007HA0F;03/01/2025;4;0,184;;;R
ES0031102460685007HA0F;03/01/2025;5;0,656;;;R
ES0031102460685007HA0F;03/01/2025;6;0,651;;;R
ES0031102460685007HA0F;03/01/2025;7;0,62;;;R
ES0031102460685007HA0F;03/01/2025;8;0,587;;;R
ES0031102460685007HA0F;03/01/2025;9;0,66;;;R
ES0031102460685007HA0F;03/01/2025;10;0,625;;;R
ES0031102460685007HA0F;03/01/2025;11;0,672;;;R
ES0031102460685007HA0F;03/01/2025;12;0,497;;;R
ES0031102460685007HA0F;03/01/2025;13;0,033;;;R
ES0031102460685007HA0F;03/01/2025;14;0,274;;;R
ES0031102460685007HA0F;03/01/2025;15;1,059;;;R
ES0031102460685007HA0F;03/01/2025;16;0,313;;;R
ES0031102460685007HA0F;03/01/2025;17;0,23;;;R
ES0031102460685007HA0F;03/01/2025;18;0,098;;;R
ES0031102460685007HA0F;03/01/2025;19;0,106;;;R
ES0031102460685007HA0F;03/01/2025;20;0,232;;;R
ES0031102460685007HA0F;03/01/2025;21;0,16;;;R
ES0031102460685007HA0F;03/01/2025;22;0,584;;;R
ES0031102460685007HA0F;03/01/2025;23;0,227;;;R
ES0031102460685007HA0F;03/01/2025;24;0,265;;;R
ES0031102460685007HA0F;04/01/2025;1;0,22;;;R
ES0031102460685007HA0F;04/01/2025;2;0,168;;;R
ES0031102460685007HA0F;04/01/2025;3;0,161;;;R
ES0031102460685007HA0F;04/01/2025;4;0,515;;;R
ES0031102460685007HA0F;04/01/2025;5;0,578;;;R
ES0031102460685007HA0F;04/01/2025;6;0,703;;;R
ES0031102460685007HA0F;04/01/2025;7;0,594;;;R
ES0031102460685007HA0F;04/01/2025;8;0,639;;;R
ES0031102460685007HA0F;04/01/2025;9;0,736;;;R
ES0031102460685007HA0F;04/01/2025;10;0,852;;;R
ES0031102460685007HA0F;04/01/2025;11;0,808;;;R
ES0031102460685007HA0F;04/01/2025;12;0,565;;;R
ES0031102460685007HA0F;04/01/2025;13;0,157;;;R
ES0031102460685007HA0F;04/01/2025;14;0,181;;;R
ES0031102460685007HA0F;04/01/2025;15;0,702;;;R
ES0031102460685007HA0F;04/01/2025;16;0,139;;;R
ES0031102460685007HA0F;04/01/2025;17;0,069;;;R
ES0031102460685007HA0F;04/01/2025;18;0,109;;;R
ES0031102460685007HA0F;04/01/2025;19;0,46;;;R
ES0031102460685007HA0F;04/01/2025;20;0,276;;;R
ES0031102460685007HA0F;04/01/2025;21;0,058;;;R
ES0031102460685007HA0F;04/01/2025;22;0,037;;;R
ES0031102460685007HA0F;04/01/2025;23;0,306;;;R
ES0031102460685007HA0F;04/01/2025;24;0,641;;;R
ES0031102460685007HA0F;05/01/2025;1;0,333;;;R
ES0031102460685007HA0F;05/01/2025;2;0,627;;;R
ES0031102460685007HA0F;05/01/2025;3;0,656;;;R
ES0031102460685007HA0F;05/01/2025;4;0,161;;;R
ES0031102460685007HA0F;05/01/2025;5;0,382;;;R
ES0031102460685007HA0F;05/01/2025;6;0,899;;;R
ES0031102460685007HA0F;05/01/2025;7;0,975;;;R
ES0031102460685007HA0F;05/01/2025;8;0,869;;;R
ES0031102460685007HA0F;05/01/2025;9;0,886;;;R
ES0031102460685007HA0F;05/01/2025;10;0,86;;;R
ES0031102460685007HA0F;05/01/2025;11;0,528;;;R
ES0031102460685007HA0F;05/01/2025;12;0,353;;;R
ES0031102460685007HA0F;05/01/2025;13;0,216;;;R
ES0031102460685007HA0F;05/01/2025;14;1,198;;;R
ES0031102460685007HA0F;05/01/2025;15;1,221;;;R
ES0031102460685007HA0F;05/01/2025;16;0,17;;;R
ES0031102460685007HA0F;05/01/2025;17;0,093;;;R
ES0031102460685007HA0F;05/01/2025;18;0,113;;;R
ES0031102460685007HA0F;05/01/2025;19;0,203;;;R
ES0031102460685007HA0F;05/01/2025;20;0,295;;;R
ES0031102460685007HA0F;05/01/2025;21;0,119;;;R
ES0031102460685007HA0F;05/01/2025;22;0,509;;;R
ES0031102460685007HA0F;05/01/2025;23;0,83;;;R
ES0031102460685007HA0F;05/01/2025;24;0,488;;;R
ES0031102460685007HA0F;06/01/2025;1;0,244;;;R
ES0031102460685007HA0F;06/01/2025;2;0,357;;;R
ES0031102460685007HA0F;06/01/2025;3;0,167;;;R
ES0031102460685007HA0F;06/01/2025;4;0,178;;;R
ES0031102460685007HA0F;06/01/2025;5;0,171;;;R
ES0031102460685007HA0F;06/01/2025;6;0,166;;;R
ES0031102460685007HA0F;06/01/2025;7;0,182;;;R
ES0031102460685007HA0F;06/01/2025;8;0,692;;;R
ES0031102460685007HA0F;06/01/2025;9;0,574;;;R
ES0031102460685007HA0F;06/01/2025;10;0,619;;;R
ES0031102460685007HA0F;06/01/2025;11;0,799;;;R
ES0031102460685007HA0F;06/01/2025;12;2,483;;;R
ES0031102460685007HA0F;06/01/2025;13;1,296;;;R
ES0031102460685007HA0F;06/01/2025;14;1,204;;;R
ES0031102460685007HA0F;06/01/2025;15;0,514;;;R
ES0031102460685007HA0F;06/01/2025;16;0,223;;;R
ES0031102460685007HA0F;06/01/2025;17;0,202;;;R
ES0031102460685007HA0F;06/01/2025;18;0,217;;;R
ES0031102460685007HA0F;06/01/2025;19;0,187;;;R
ES0031102460685007HA0F;06/01/2025;20;0,535;;;R
ES0031102460685007HA0F;06/01/2025;21;0,481;;;R
ES0031102460685007HA0F;06/01/2025;22;0,258;;;R
ES0031102460685007HA0F;06/01/2025;23;0,654;;;R
ES0031102460685007HA0F;06/01/2025;24;0,515;;;R
ES0031102460685007HA0F;07/01/2025;1;0,542;;;R
ES0031102460685007HA0F;07/01/2025;2;0,068;;;R
ES0031102460685007HA0F;07/01/2025;3;0,025;;;R
ES0031102460685007HA0F;07/01/2025;4;0,034;;;R
ES0031102460685007HA0F;07/01/2025;5;0,024;;;R
ES0031102460685007HA0F;07/01/2025;6;0,034;;;R
ES0031102460685007HA0F;07/01/2025;7;0,025;;;R
ES0031102460685007HA0F;07/01/2025;8;0,086;;;R
ES0031102460685007HA0F;07/01/2025;9;0,721;;;R
ES0031102460685007HA0F;07/01/2025;10;1,153;;;R
ES0031102460685007HA0F;07/01/2025;11;0,085;;;R
ES0031102460685007HA0F;07/01/2025;12;0,034;;;R
ES0031102460685007HA0F;07/01/2025;13;0,23;;;R
ES0031102460685007HA0F;07/01/2025;14;0,342;;;R
ES0031102460685007HA0F;07/01/2025;15;0,251;;;R
ES0031102460685007HA0F;07/01/2025;16;0,166;;;R
ES0031102460685007HA0F;07/01/2025;17;0,139;;;R
ES0031102460685007HA0F;07/01/2025;18;0,116;;;R
ES0031102460685007HA0F;07/01/2025;19;0,142;;;R
ES0031102460685007HA0F;07/01/2025;20;0,284;;;R
ES0031102460685007HA0F;07/01/2025;21;0,691;;;R
ES0031102460685007HA0F;07/01/2025;22;0,083;;;R
ES0031102460685007HA0F;07/01/2025;23;0,25;;;R
ES0031102460685007HA0F;07/01/2025;24;0,225;;;R
ES0031102460685007HA0F;08/01/2025;1;0,096;;;R
ES0031102460685007HA0F;08/01/2025;2;0,025;;;R
ES0031102460685007HA0F;08/01/2025;3;0,029;;;R
ES0031102460685007HA0F;08/01/2025;4;0,028;;;R
ES0031102460685007HA0F;08/01/2025;5;0,025;;;R
ES0031102460685007HA0F;08/01/2025;6;0,031;;;R
ES0031102460685007HA0F;08/01/2025;7;0,026;;;R
ES0031102460685007HA0F;08/01/2025;8;0,237;;;R
ES0031102460685007HA0F;08/01/2025;9;0,077;;;R
ES0031102460685007HA0F;08/01/2025;10;0,036;;;R
ES0031102460685007HA0F;08/01/2025;11;0,231;;;R
ES0031102460685007HA0F;08/01/2025;12;0,156;;;R
ES0031102460685007HA0F;08/01/2025;13;0,832;;;R
ES0031102460685007HA0F;08/01/2025;14;0,781;;;R
ES0031102460685007HA0F;08/01/2025;15;0,158;;;R
ES0031102460685007HA0F;08/01/2025;16;0,181;;;R
ES0031102460685007HA0F;08/01/2025;17;0,209;;;R
ES0031102460685007HA0F;08/01/2025;18;0,047;;;R
ES0031102460685007HA0F;08/01/2025;19;0,034;;;R
ES0031102460685007HA0F;08/01/2025;20;0,139;;;R
